CHAMP;CODE;DESIGNATION;IDINTBEN;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300248861;Donnée inexistante dans le référentiel;540688;Erreur;52300248861
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300002503;Donnée inexistante dans le référentiel;540686;Erreur;52300002503
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300274699;Donnée inexistante dans le référentiel;540684;Erreur;52300274699
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300292143;Donnée inexistante dans le référentiel;540683;Erreur;52300292143
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300010826;Donnée inexistante dans le référentiel;540682;Erreur;52300010826
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300292327;Donnée inexistante dans le référentiel;540685;Erreur;52300292327
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42600353964;Donnée inexistante dans le référentiel;540878;Erreur;42600353964
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42600353923;Donnée inexistante dans le référentiel;540877;Erreur;42600353923
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100158115;Donnée inexistante dans le référentiel;540876;Erreur;32100158115
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400006661;Donnée inexistante dans le référentiel;540875;Erreur;42400006661
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42600354366;Donnée inexistante dans le référentiel;540873;Erreur;42600354366
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300288577;Donnée inexistante dans le référentiel;540681;Erreur;52300288577
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12800265432;Donnée inexistante dans le référentiel;540872;Erreur;12800265432
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;71500203459;Donnée inexistante dans le référentiel;540871;Erreur;71500203459
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;71500151908;Donnée inexistante dans le référentiel;540868;Erreur;71500151908
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400356065;Donnée inexistante dans le référentiel;540869;Erreur;42400356065
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100007116;Donnée inexistante dans le référentiel;540867;Erreur;32100007116
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400345652;Donnée inexistante dans le référentiel;540865;Erreur;42400345652
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400355358;Donnée inexistante dans le référentiel;540874;Erreur;42400355358
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100354328;Donnée inexistante dans le référentiel;540864;Erreur;32100354328
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70500356582;Donnée inexistante dans le référentiel;540866;Erreur;70500356582
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100354320;Donnée inexistante dans le référentiel;540862;Erreur;32100354320
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;71500347703;Donnée inexistante dans le référentiel;540863;Erreur;71500347703
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42000155831;Donnée inexistante dans le référentiel;540587;Erreur;42000155831
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42200000437;Donnée inexistante dans le référentiel;540860;Erreur;42200000437
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70100155902;Donnée inexistante dans le référentiel;540853;Erreur;70100155902
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400355041;Donnée inexistante dans le référentiel;540856;Erreur;42400355041
