"actif";"code";"nom";"participant";"libelle"
"false";"307";"FBNBANK";"GN/008";"Agence 307"
"false";"001";"ECOBANK";"GN/010";"Agence Principale"
"false";"002";"ECOBANK";"GN/010";"Fria"
"false";"003";"ECOBANK";"GN/010";"Madina"
"false";"004";"ECOBANK";"GN/010";"Belle Vue"
"false";"005";"ECOBANK";"GN/010";"Nzerekore"
"false";"006";"ECOBANK";"GN/010";"Hamdalaye"
"false";"007";"ECOBANK";"GN/010";"Matoto"
"false";"008";"ECOBANK";"GN/010";"Manquepas"
"false";"009";"ECOBANK";"GN/010";"Bonfi"
"false";"010";"ECOBANK";"GN/010";"Kipe"
"false";"011";"ECOBANK";"GN/010";"Labe"
"false";"012";"ECOBANK";"GN/010";"Sangaredi"
"false";"013";"ECOBANK";"GN/010";"Kamsar"
"false";"014";"ECOBANK";"GN/010";"Guekedou"
"false";"015";"ECOBANK";"GN/010";"Lero"
"false";"016";"ECOBANK";"GN/010";"Kankan"
"false";"017";"ECOBANK";"GN/010";"Siguiri"
"false";"018";"ECOBANK";"GN/010";"Forecariah"
"false";"019";"ECOBANK";"GN/010";"Dieke"
"false";"021";"ECOBANK";"GN/010";"Agence 021"
"false";"001";"VISTA BANK";"GN/011";"Fib-Test001"
"false";"100";"VISTA BANK";"GN/011";"Le Siege Cite Chemin De Fer"
"false";"101";"VISTA BANK";"GN/011";"Agence Madina"
"false";"102";"VISTA BANK";"GN/011";"Agence Labe"
"false";"103";"VISTA BANK";"GN/011";"Agence Siguiri"
"false";"104";"VISTA BANK";"GN/011";"Agence Nzerekore"
"false";"105";"VISTA BANK";"GN/011";"Agence Kissidougou"
"false";"106";"VISTA BANK";"GN/011";"Agence Pita"
"false";"107";"VISTA BANK";"GN/011";"Agence Manquepas"
"false";"108";"VISTA BANK";"GN/011";"Agence Koundara"
"false";"109";"VISTA BANK";"GN/011";"Agence Kankan"
"false";"002";"SKYE BANK";"GN/012";"Skye-Test002"
"false";"100";"SKYE BANK";"GN/012";"Agence Siege"
"false";"101";"SKYE BANK";"GN/012";"Kaloum"
"false";"102";"SKYE BANK";"GN/012";"Madina"
"false";"001";"BSIC";"GN/013";"Agence Principale"
"false";"002";"BSIC";"GN/013";"Madina"
"false";"003";"BSIC";"GN/013";"Hamdallaye"
"false";"004";"BSIC";"GN/013";"Matoto"
"false";"005";"BSIC";"GN/013";"Forecariah"
"false";"006";"BSIC";"GN/013";"Labe"
"false";"007";"BSIC";"GN/013";"Kagbelen"
"false";"008";"BSIC";"GN/013";"N'zerekore"
"false";"009";"BSIC";"GN/013";"Kankan"
"false";"010";"BSIC";"GN/013";"Siguiri"
"false";"011";"BSIC";"GN/013";"Bambeto"
"false";"012";"BSIC";"GN/013";"Lambanyi"
"false";"013";"BSIC";"GN/013";"Mandiana"
"false";"001";"UBA";"GN/015";"Kaloum"
"false";"002";"UBA";"GN/015";"Madina"
"false";"003";"UBA";"GN/015";"Agence Matoto"
"false";"004";"UBA";"GN/015";"Agence Kagbelen"
"false";"005";"UBA";"GN/015";"Agence Kipe"
"false";"006";"UBA";"GN/015";"Agence Labe"
"false";"099";"UBA";"GN/015";"Agence Siege"
"false";"001";"NSIA";"GN/017";"Siege Biao-Guinee"
"false";"002";"NSIA";"GN/017";"Avenue De La République"
"false";"003";"NSIA";"GN/017";"Agence MADINA"
"false";"004";"NSIA";"GN/017";"Agence Cite Chemin De Fer"
"false";"005";"NSIA";"GN/017";"Agence 005"
"false";"006";"NSIA";"GN/017";"Agence 006"
"false";"007";"NSIA";"GN/017";"Agence 007"
"false";"008";"NSIA";"GN/017";"Agence 008"
"false";"001";"BCI";"GN/019";"Agence Siege"
"false";"002";"BCI";"GN/019";"Madina"
"false";"003";"BCI";"GN/019";"Kagbelen"
"false";"004";"BCI";"GN/019";"Agence De Labe"
"false";"005";"BCI";"GN/019";"Agence 005"
"false";"006";"BCI";"GN/019";"Agence De Siguiri"
"false";"007";"BCI";"GN/019";"Agence Kamsar"
"false";"999";"BCI";"GN/019";"Agence Centrale"
"false";"001";"AFB";"GN/021";"Kaloum"
"false";"002";"AFB";"GN/021";"Madina"
"false";"003";"AFB";"GN/021";"Agence De Kankan"
"false";"004";"AFB";"GN/021";"Agence De Labe"
"false";"005";"AFB";"GN/021";"Agence De Constantin"
"false";"006";"AFB";"GN/021";"Agence De Kagbelen"
"false";"007";"AFB";"GN/021";"Agence De Kindia"
"false";"008";"AFB";"GN/021";"Agence De Siguiri"
"false";"009";"AFB";"GN/021";"Agence De Nzerekore"
"false";"001";"BNG";"GN/022";"Agence Kaloum"
"false";"002";"BNG";"GN/022";"Agence Madina"
"false";"001";"CRG-SA";"GN/101";"COYAH"
"false";"002";"CRG-SA";"GN/101";"MANEAH"
"false";"003";"CRG-SA";"GN/101";"MAFERINYAH"
"false";"004";"CRG-SA";"GN/101";"DUBREKA"
"false";"005";"CRG-SA";"GN/101";"KALOUM"
"false";"006";"CRG-SA";"GN/101";"MATOTO"
"false";"007";"CRG-SA";"GN/101";"ENTA"
"false";"008";"CRG-SA";"GN/101";"TAOUYAH"
"false";"009";"CRG-SA";"GN/101";"MADINA"
"false";"010";"CRG-SA";"GN/101";"SONFONIA"
"false";"011";"CRG-SA";"GN/101";"LAMBANYI"
"false";"012";"CRG-SA";"GN/101";"FORECAIAH"
"false";"013";"CRG-SA";"GN/101";"BENTY"
"false";"014";"CRG-SA";"GN/101";"FARMORYAH"
"false";"015";"CRG-SA";"GN/101";"MOUSSAYAH"
"false";"016";"CRG-SA";"GN/101";"SIKHOUROU"
"false";"017";"CRG-SA";"GN/101";"KINDIA"
"false";"018";"CRG-SA";"GN/101";"FRIGUIAGBE"
"false";"019";"CRG-SA";"GN/101";"MAMBIA"
"false";"020";"CRG-SA";"GN/101";"BANGOUYAH"
